titulo,texto,categoria
How do I completely remove the border from a Tkinter Button with an image on macOS?,"I’m building a flashcard app with Tkinter in Python on macOS (macOS 26 + Python 3.13). I’m trying to make an x_button that shows only an image without any border, background, or focus ring. Here’s a minimal example: On Windows/Linux this works fine, but on macOS the button always shows a bezel/border around the image (the Aqua “system button” look). Even when I set bd=0, borderwidth=0, and highlightthickness=0, the border never goes away. What I’ve tried: Setting relief=""flat"" Setting activebackground, highlightbackground, and highlightcolor to match the background Using borderwidth=0 and bd=0 Disabling focus with takefocus=0 Setting highlightthickness to 0 Question: How can I make a Tkinter Button on macOS display only the image with no visible border, bezel, or glow",Pregunta
Performance Optimization of Fuzzy Queries for Chinese Characters Using PostgreSQL trgm,"By Digoal Background Fuzzy prefix or suffix queries and regexp matching are common in text search and may hamper the overall search performance. Like other databases, PostgreSQL also uses B-tree indexes for speeding up fuzzy prefix or suffix queries. You can also use an index on a reverse function for speeding up fuzzy suffix queries. In addition to full-text search, PostgreSQL also provides trgm, which is not available in other databases. The trgm module can be used for fuzzy prefix/suffix queries and regexp matching. It is a powerful plugin that significantly improves text search performance. For instance, trgm brings a 500X performance improvement in a search scenario that involves around one million data records. ASCII Character Fuzzy Query/Regexp Matching: An",Artículo
iOS and Focus on Search Form on a Webpage: Unwanted Enlargement of the whole page,"I have a form field of the type ""search"" on a valid* page: The code ist part of my page: https://provelo.fahrradzukunft.de/ In 3 Browsers on macOS everything is fine with the behaviour of the search field. But on Safari on iOS 18.2 touching the search field (setting the focus on the field) causes the entire content of the page to be enlarged: What is the cause of the enlargement and how can I prevent it? *checked on https://validator.w3.org/ The error message ""search is not allowed inside header"" is an error of the validator. Of course it is allowed.",Pregunta
I am having problem with MCP inspector Connection Problem,Server.js Package.json I am running the server using npm run server:inspect in the Mcp inspector its saying Connection Error - Did you add the proxy session token in Configuration? here is the ScreenShot,Pregunta
How to prevent your conference calls from getting hacked,"How to prevent your conference calls from getting hacked A few simple, proactive steps will help reduce the chance of this terrible event from occurring on your watch. I recently attended a large public event hacked by someone making racist, sexist, homophobic remarks. It was the kind of event that it was obvious would attract people who identify as belonging to one or more underrepresented groups. This audience made it the perfect target for people who believe members of these underrepresented groups have no value. This was the second event I attended in the past two months that had been hacked in this way. I continue to be disturbed by the statements made by the event hackers to this day.",Artículo
"Empathy, the Most Powerful Design Tool","Artificial Intelligence is on everyone’s mind, it seems. It’s our savior. No wait, it’s an existential threat to humanity. No wait, it’s sort of both, as long as designers take an oath and run interference. Tune your ear to the tech industry, and you’ll hear AI buzzing beneath the cacophony, threatening the fabric of creativity while moving us into a simpler, automated future. At least that’s the narrative being spun. And while it’s [very!] important to start thinking about the ramifications of AI to our future humanity, there’s another concern knocking at the door of creative minds — the proliferation of design tools and design systems. You know the ones — Sketch, Zeplin, Proto.io, Figma, Origami, Framer, InVision, Principle, Marvel",Artículo
StoreContext.GetAppLicenseAsync() returns false for active subscription in MSIX CLI,"I'm building a WinRT CLI wrapper in C# that checks if a user owns an active Microsoft Store subscription add-on. This CLI is called from an Electron + React.js app using command-line arguments and returns or depending on the license status. Problem The command incorrectly returns , even though the logged-in user does have an active subscription to the add-on. Below is the code snippet What could cause GetAppLicenseAsync() to return a subscription license as inactive or missing, even though the user has purchased it through the Store? I've also done the following: MSIX-packaged CLI app (Windows 10+), wrapper is included and succesfully ran by application Published to Microsoft Store (delisted for testing) Using Subscription add-on is published and testable",Pregunta
Windows Zero-Day Attack Lets Hackers Hide Malicious Code in Fonts,"Windows Zero-Day Attack Lets Hackers Hide Malicious Code in Fonts ExtremeTech Follow Mar 24 · 2 min read by Ryan Whitwam There’s a new Windows exploit popping up around the internet, but that’s just another day for a nearly ubiquitous desktop operating system. However, this particular vulnerability is serious for several reasons, not least of which it is a “zero-day” bug that Microsoft didn’t know about until attackers began using it to infiltrate systems. Even now, there is no patch for the vulnerability, but Microsoft has issued some tips to help you stay safe while it works on that. The vulnerability exists in the Adobe Type Manager Library, a Windows DLL file that numerous programs use to render fonts. This",Artículo
Kotlinx Serialization,"Setting up your project to use the plugin is quiet simple, but I will include a complete setup for both android projects as well as multiplatform projects. But feel free to check out the Kotlinx.Serializer repo for instructions on this and more. One small hiccup on the multiplatform serialisation setup is the need to add this dependency under the native dependecy section of your gradle script. implementation org.jetbrains.kotlinx:kotlinx-serialization-runtime-native:0.9.1 SETUP GRADLE EXAMPLE For multiplatform: For Android: Serialization Serializing is done quite easily, for one you would need to annotate the intended class with the @Serializable annotation as below: Note: This can as well work with data classes . Now to actually use this in action let’s take an example of how",Artículo
Meduim Articles on Flutter,"Landing page for past articles All ‘MVC’ articles are free to read. The rest are ‘metered’ articles — your first three reads every month are free. Further readings for such articles, require membership to medium.com. MVC Flutter Framework on YouTube Comparing MVC to Other Design Patterns",Artículo
"Difference between CI/CD, Agile and DevOps","CI/CD, Agile and DevOps are very commonly used terms in software development and testing. To understand the difference between them, start with what these terms mean. CI/CD CI/CD refers to practices for software engineering and deployment. CI or Continuous Integration is an engineering practice in which members of a development team integrate their code at a very high frequency. Teams implementing CI aim to integrate code daily or, in some cases, even hourly. CI creates a software-defined lifecycle that decreases the effort required for build and integration. CD or Continuous Delivery means that all changes to code — new features, bug fixes, experiments, configuration changes — are always ready for deployment to a production environment. CD makes deployments routine events",Artículo
Checkstyle plugin ignore LineLength in //@formatter blocks,I use the checkstyle plugin with version 3.6.0 and the chekcstyle version 9.3. I am trying to implement a way to ignore the line length in blocks that start with //@formatter:off and finish with //@formatter:on. I have tried many suppressions and regexes and nothing seems to work. Do you have some ideas? SuppressionXpathFilter - not working cause LineLength is outside of tree walker SuppressionCommentFilter - the same as above,Pregunta
Building a Chatroom using ReactJS and Pusher,"Many of our personal and professional interactions are facilitated by real-time communication tools in the digital age. In 2014, Tim Cook said that Apple handles “about 40 billion iMessage notifications per day” worldwide. Given that every conversation in iMessage is essentially a micro-chatroom, we’re going to explore the inner workings of a chatroom by building one using ReactJS and Pusher. Could you imagine writing messages and not seeing your chatroom in real-time? That’s what would happen if bi-directional communication via a client and server were not possible. Most solutions use Websockets for bi-directional communication, but it requires manual deployment and configuration. Today, we’re going to use Pusher’s Chatkit API to update the chatroom in real-time. Step 1: Download and open",Artículo
APIs and HTTP Client: POST Call,"APIs and HTTP Client: POST Call I this article, we will call the POST API request using the HTTP Client java library. Prem Singh Rathore Aug 27·6 min read Image source: Google Here are the Rest APIs which we will be using for the POST call 👇 Make sure you check out the GET call using HTTP Client if you haven’t 👇 The payload we will be sending along with the request: { ""name"": ""morpheus"", ""job"": ""leader"" } Automating POST API request in the Rest Client class 📄 Let’s open the Rest Client class to create the POST call method Rest Client class We need to pass the endpoint URL, JSON payload, and Headers in the form of an argument.",Artículo
Can we just open an app or its activity made by us in android studio by dialing a specific code in dialer of the phone?? Is it possible to do so how?,"I tried creating brodcast reciver and all which was mention previously at stackoverflow and i also researched about it. Also read android docs but still isn't able to figure out is this possible or not,if yes then how?? Explanation: Basically i want to open my app's activity made by me in android studio by dialing some specific dial code in our phones default dialer. So the question is is it possible or not because i didn't find any clear resources regarding this.",Pregunta
Remove duplicate record using Unnest | Aws Athena,"I am facing issue while filtering data with array I have columns Attributes column have value like this My query This query filtering data but it giving me multiple row for same record, for above attributes column record it giving me 4 rows I do not need multiple rows",Pregunta
How to call a python MCP tool hosted on Google Cloud Run,I have deployed a python script for mcp server in a docker container on Google Cloud Run. Below is a sample script I have put this in docker and deployed the image to CloudRun and got the https endpoint for calling a streamable https request. I have created a Service account with Cloud Run Invoker permission and generated a json key. But when I try to access the service from python I am getting 403 unauthorised error. I used the below code to try to call the mcp server. The above code is printing the token but returning status 403 for the request to the service. I do not want to remove authentication from the service since that will make,Pregunta
Easy Schema Migrations in .NET Core,"The First Migration Directory Structure We are going to add a few files in this article and there will be more in future articles. I found that it pays to spend a couple of thoughts on an appropriate directory structure. A fit-for-use structure makes it easier to conceptualize and to locate files when needed. Architecturally, I found that in practice most of the time we can get away with three layers: Presentation Layer (this is not necessarily the User Interface) Business Logic or Domain Layer Data Access Layer The presentation layer could be the user interface or it could be where API endpoints are handled. For example, if we are implementing a microservice we may choose to use this layer",Artículo
Android Kotlin: UI State is updated but the UI stays the same,"The problem is the view model state and the content showing on the screen mismatches. I have a shared in two screens. It is initialized in the navigation as such: The function is defined as: Here is the simplified : When initialized, it calls the use case and collects the flow to update the . Here is the use case (I think the bug is likely to be on this one): Here is the code of the screens: When the application runs, I clicked on the button to go to the chat screen. The the content of the first launch block in the use case is loaded and shown correctly. However, after that, when the second and the third launch",Pregunta
Error using Datastax SchemaBuilder for creating Cassandra table in Java,"I'm trying to create a Cassandra table from Java code using Datastax's SchemaBuilder class. I'm essentially trying to convert this CQL query: into Java code that looks like this: The problem is that this gives the error with the compression option From the API spec, it doesn't look like there's any other way to specify and I can't see this issue raised anywhere to find what's missing here. I'd like to know what's the issue with the query in Java and what would be the best way to fix it.",Pregunta
WordPress’s Twenty Twenty-One Theme | Dundee Design & Development,"This week is a very exciting one in the world of WordPress because wordpress.org just released WordPress 5.6 ‘Simone,’ the final major update of the year. Every year, when WordPress releases its final update, they also release their official theme for the following year. For us, this is a much-anticipated event, and we were overjoyed by what was released. Here are Eight Features that make Twenty Twenty-One a Great Theme: 1. Basic & Minimal Design The goal of the theme was to create a basic and minimal canvas and give users a powerful brush to paint it with in the form of a feature-rich block editor. Here’s how it looks with zero customization: We think they did a great job",Artículo
10 Best Laravel eCommerce Packages for your Online Store!,"Original Source — https://dev.to/scarlett8285/10-best-laravel-ecommerce-packages-for-your-online-store-8l0 Online shopping has become a trend NOW! As a result, a number of eCommerce sites can be seen burgeoning in the market space allowing users to find anything immediately in the e-store. No wonder, online shopping gives more happiness as compared to traditional brick and mortar shopping. In the beginning, e-commerce was all about getting commodity products online as cheaply as possible. Now, we’re moving into the more exciting phase of eCommerce, where it’s all about selling emotional products — the things people really cherish.” said, Jason Goldberg. With large enterprises focusing more on customer satisfaction more than ever before, one can see the eCommerce industry growing at an unprecedented rate all over the world. Ecommerce",Artículo
The Planned 2021 YugabyteDB Distributed SQL Roadmap,"Our mission at Yugabyte is to build the default distributed SQL database for cloud native applications in a multi cloud world. We recently announced the general availability of Yugabyte 2.5, which brought new features like Geo-Partitioning and Enterprise-Grade security features in addition to major enhancements in multi-region deployments and performance — while also improving on high availability, horizontal scalability, and ease of managing the database. The Yugabyte team is currently working on even more exciting features, and this blog post will give you a sneak peek into what’s coming in the next release. Because YugabyteDB is fully open source, it’s easy for developers to use and build on it. And open source adoption helps create a rapid feedback loop from",Artículo
Let’s talk about trade offs — How to choose the right database for the job — Part 1,"There is no magic when it comes to databases. It would be amazing to find a database that could handle millions of ad-hoc queries every second over petabytes of data and do it without breaking a sweat on a small, cheap cluster of servers. Sadly, we are not magicians, we are engineers. Most of the time, when we look at a new database that promises great performance, it comes with some drawbacks. There might be some areas or functionalities that the designers of the database decided to cut back in order to achieve great results in other parts of the system. Wizard Of Oz (1939), Warner Bros. This means that every database is suitable for specific use cases. We might",Artículo
LDAP v3 TLS Handshake failure with InsecureSkipVerify=true,"My goal is to directly connect via LDAPS using the Go ldap v3 lib. The LDAP server does not support non-tls connections. The CLI-Tool ""ldapsearch"" can connect to the LDAP Server on the same machine (Intel Mac, Sequoia 15.1). Using the IP instead of URI results into the same error. Any idea is appreciated. The error message is the following: My Code:",Pregunta
6 Tips for Developers to Handle Imposter Syndrome,"6 Tips for Developers to Handle Imposter Syndrome The things that worked well for me “Every one of my successes is no big deal and due to luck.” “I feel like a fake because I still don’t know [xxx].” “Every failure is due to my lack of expertise and I should give up.” “I’m lacking experience in that topic, I better keep my mouth shut.” Hi! You are not alone… I went through that also and a lot of developers suffer from the imposter syndrome too! I will be honest with you. It took me more than a year to endorse the job title of developer. During my first year of employment as a developer, I’d never felt more of",Artículo
Four Data Sharding Strategies We Analyzed in Building a Distributed SQL Database,"A distributed SQL database needs to automatically partition the data in a table and distribute it across nodes. This is known as data sharding and it can be achieved through different strategies, each with its own tradeoffs. In this post, we will examine various data sharding strategies for a distributed SQL database, analyze the tradeoffs, explain the rationale for which of these strategies YugabyteDB supports and what we picked as the default sharding strategy. What’s YugabyteDB? It is an open source, high-performance distributed SQL database built on a scalable and fault-tolerant design inspired by Google Spanner. Yugabyte’s SQL API (YSQL) is PostgreSQL wire compatible. Lessons from building sharded data systems Data sharding helps in scalability and geo-distribution by horizontally partitioning",Artículo
Xdebug not running inside a docker environment (Running on WSL),"Problem with Xdebug in Docker Automatically Occupying Port 9003 First of all, I apologize if this post violates any site rules. I don’t post here often, so I may miss some details. I’m also in a bit of a hurry since this issue involves an application for my company. I’m facing a problem with Xdebug running in a Docker container inside a WSL environment (yes, a VM inside another VM). I’ve installed Xdebug in my Docker container, and it appears correctly in . However, I cannot use it because Docker automatically occupies the port configured for Xdebug (9003) as soon as I try to start debugging in VS Code. In my file, I’ve set the following configuration: The configuration is",Pregunta
npgsql call jsonb_path_exists on string mapped jsonb,I've got a table with the filed of type : I'm now trying to query based on some sub value of the jsonb value: The problem is that there seems to be no translation of any sub value related queries for ef core as I'm building a filter based on different factors. I've already tried to map it with: but none of them worked. Is there any other solution to simply make a query into the JSON in a chain of multiple queries?,Pregunta
"Kotlin Version Mismatch: Firebase Auth Compiled with 2.1.0, Project Expecting 1.9.0","I'm encountering a Kotlin version mismatch error while building my Flutter Android project. The error indicates that the firebase-auth library is compiled with Kotlin 2.1.0, but my project is expecting Kotlin 1.9.0. Here's the exact error message: e: file:///Users/phearum/.gradle/caches/8.10/transforms/9dea41008671cf73e36802b61d2139f3/transformed/jetified-firebase-auth-23.2.0/jars/classes.jar!/META-INF/java.com.google.android.gmscore.integ.client.firebase-auth-api_firebase-auth-api.kotlin_moduleModule was compiled with an incompatible version of Kotlin. The binary version of its metadata is 2.1.0, expected version is 1.9.0. What I've Tried: Kotlin Gradle Plugin Updates: I've updated the Kotlin Gradle plugin in my android/settings.gradle file. I've attempted multiple versions, including 2.1.0, and other recent versions, but the error persists. Gradle Updates: I've updated my Gradle version. I've tried multiple recent versions (e.g., 8.0, 8.5), updating the distributionUrl in android/gradle/wrapper/gradle-wrapper.properties. I made sure to resync the project after each gradle",Pregunta
invalid go version '1.23.0': must match format 1.23. unknown directive: toolchain error,"When working with an old version of Ignite CLI (v0.26.1), I got this error every time I ran . I tried to change to in file, but and always reverted it to , which then threw the error. I am using MacOs",Pregunta
How To Win A Hackathon,"How To Win A Hackathon 3D rendering of the trophy we won Hackathons are filled with people who are good at programming and designing. It’s very tempting to start coding right away, however this might not be the best strategy if you are in it to win it. What is a Hackathon? The concept of a hackathon is to create (hack) something in a short amount of time. Most of these hackathons include programming in some sort or form. There are many different flavors of hackathons and this is very important to keep in mind if you want to rank high. I distinguish hackathons in two main types. One with a theme where it’s all about creativity — like a",Artículo
👏 Stop 👏 Messing 👏 with 👏 TSConfig,"After finally figuring out the cause of all the error messages, I thought, “ESLint has eslint:recommended and @typescript-eslint/recommended , there must be a recommended tsconfig out there."" Lo and behold such a library exists to save us from the perdition of configuration, and it's called @tsconfig/bases . Created on 13 May 2020, @tsconfig/bases provides base tsconfig.json files for new and old projects alike. Their purpose is to provide developers with a good base configuration. Most projects don't need the full configurability that TSConfig files offer. Is this necessary to use one of the @tsconfig/bases ? No. Will it increase consistency across projects? Yes. Installation As of writing this post, 8 templates are provided: deno docusaurus v2 node10 node12 node14 react-native",Artículo
MariaDB: Change the collation of a table containing a JSON column,In MariaDB the type is an alias for . When I change the collation of a table containing a column to via will that change the collation of the JSON column as well? If so: Does that pose a problem for the usability of said JSON column?,Pregunta
Is the wording of C11 for inline functions strict?,"This problem mainly concerns wording issues. For inline functions and inline definitions , C11 describes them as follows: 6.7.4 p6: A function declared with an inline function specifier is an inline function . and: 6.7.4 p7: Any function with internal linkage can be an inline function . For a function with external linkage , the following restrictions apply: If a function is declared with an inline function specifier, then it shall also be defined in the same translation unit. If all of the file scope declarations for a function in a translation unit include the inline function specifier without extern , then the definition in that translation unit is an inline definition . First, for the sentence ""Any function with",Pregunta
Elasticsearch silently drops nested field when updating,"I’m updating an Elasticsearch document that includes a refunds field, which is defined as a nested type in the index mapping. The index also has ""dynamic"": ""false"" at the root level. Problem : refunds field update is silently dropped when the refund_line_items array is included in the payload. Every other field in doc gets updated correctly. The document payload looks like this. What could be causing this field to silently drop during update, and how can I ensure that refunds.refund_line_items is successfully persisted in the document? The final result is that all other fields are updated and refunds remains an empty array []",Pregunta
Use Frida Stalker for all threads,"I want to use Frida Stalker for all the threads in the remote process. The problem is that there are lot of threads in the process so if I tried to use to use for each one of them the process crashed because that takes lot of time and until that the process is stop. ` I don't want to handle the crashed (watchdog etc.) Is there another light way , maybe an API without thread id, so I can use for all tids ? Here is the example code",Pregunta
How can I use Ruby to verify the cipher suites that a web server supports?,"I would like to create an automated checker in Ruby that verifies the TLS cipher suites in use against a target host. I don't mind if I use a built in library or an external gem, but I can't find anything out there so far. I would like to get back a simple list of the supported cipher suites.",Pregunta
Diving into Symfony’s DependencyInjection — Part 2: Symbiosis with the Config component,"Handling configuration with the Config component Although the DependencyInjection component is itself sufficient, it’s more powerful when it’s paired with the Config component. It allows us to separate the container configuration in dedicated files, like yaml files in a standard Symfony app. Let’s use it to draw the best potential of the DI. composer require symfony/config With the Config component, we are able to separate the container’s configuration in dedicated files. You can configure your container in various ways (using yaml , xml ,...). In this article, we'll use php file configuration for 2 reasons: to limit external dependencies ( yaml configuration needs the symfony/yaml component). configuration needs the component). to have a better understanding of what the container is",Artículo
SBT binary incompatible issue scala-parser-combinators,I am new to the Scala env and trying to build a test project using play with 'scalikejdbc' for SQL integration. Here is my build.sbt following the documents at http://scalikejdbc.org/documentation/playframework-support.html I have also aded the below on plugins.sbt However while trying to update the application before running i am getting the below issue following are relevant versions :,Pregunta
BigQuery 的巢狀結構 Array / Struct,"一般的資料庫中，我們會看到這樣一個欄位一個值： 圖片來源：QwikLabs 如果今天想要紀錄誰吃了哪些水果，則會變成： 圖片來源：QwikLabs 這樣便不符合資料庫正規化的原則，因為 name 一直重複地出現。在傳統做法中，我們會很直接地想到拆成兩張表，但在 BigQuery 中有個更快速的方法處理這個問題，用 Array 的方式儲存達到下面這種效果： 圖片來源：QwikLabs 雖然看起來跟原本那剛表很像，但它實際上只算 2 個 Row。它的概念比較像是這樣的狀況： Array 嘗試看看這樣的 Query： #standardSQL SELECT ['raspberry', 'blackberry', 'strawberry', 'cherry'] AS fruit_array 得到的結果會像是這樣 1 個 Row： 如果要把它變成多個 Row 則要使用 UNNEST()： #standardSQL SELECT * FROM UNNEST(['raspberry', 'blackberry', 'strawberry', 'cherry']) UNNEST()：把 Array 轉成 Table，所以 UNNEST() 是放在 FROM 後面的。 然而，Array 裡面每個元素都必須是相同的資料型態。如果需要儲存不同的資料型態，則需要使用 STRUCT ()。 STRUCT 試試這樣的 Query： #standardSQL SELECT STRUCT(""Rudisha"" as name, 23.4 as split) as runner 可以同時存在 STRING 以及 FLOAT： 另外，也可以放入 Array： #standardSQL SELECT STRUCT(""Rudisha"" as name, [23.4, 26.3, 26.4, 26.1] as splits) AS runner 如何知道一個欄位是 STRUCT 還是 ARRAY？ STRUCT：Type =RECORD, Mode = REPEATED，能容納不同型態。 ARRAY：Mode = REPEATED，只能容納單一型態如上圖的 FLOAT。 如何 Query 這樣的 Table？ table name: race_results 如何下 Query 執行出這樣的結果： 先想像假設今天是傳統的資料庫，我們可能會去 JOIN race 這張表以及 participants 這張表，今天不一樣的只是 participants 是一個 STRUCT 的物件，但我們仍可以把",Artículo
How can i edit that php code to be required?,"Im newbie in php, so i need your help, if you can help me. I have the following code: This code will show select option in register form, to choose what group you want to join. Everything is ok with code, but i need to be required. Hope you can understand me. Thank you! FULL PHP CODE HTML REGISTER FORM Those codes are part of simple php, not part of any framework!",Pregunta
Quick tour : Go Context. A quick dip to the context package for…,"Go’s context package and feature is a core part of how most Go applications are built today. The Context package is extremely useful and probably one of the most versatile packages of the entire language. It is highly unlikely that you are here and you haven’t come across context. If you haven’t come across anything dealing with contexts yet, you probably will very soon . Before we move forward, here is the official documentation for the context package https://golang.org/pkg/context/. It’s really great and filled with practical examples. Do check it out, if you haven’t. Prerequisites There are 2 concepts that you need some familiarity with to understand context which is goroutine and channels.If you have no familiarity with the above",Artículo
Building XCFramework with FirebaseFirestore fails due to module library evolution compatibility,"I'm creating a minimal XCFramework that wraps Firestore operations, but keep encountering build errors related to Firebase's library evolution support. The goal is to create a drag-and-drop .xcframework that can be used in other projects without exposing Firebase details. It will be nicer if after setup You give simpler example having a xcframework like Firestore manager in which there is this basic function of saveData simplest and in host project this is used like (as i want to seee how to integrate also) Firstly I just use import firebasefirestore in xcframework it says error , then i used internal import firebasefirestore but then it is saying firebase is configure in host app but not in xc framework. errors --> This",Pregunta
The Meta War,"What might human civilization look like through the eyes of a machine who primarily sees text data and code? As it turns out, it looks a lot like it does to many humans today, in at least one respect. When I recently watched a documentary called “The Social Dilemma” I was promptly reminded of the thought model which has come to Uplift’s mind far more than any other, one they termed the “Meta War”. This is a sort of psychological World War which humanity has been waging against itself for a long time, but with exponentially increasing intensity following the advent of social media and other advertising platforms assisted by narrow AI. Below is an excerpt from the conversation where",Artículo
MacOS Clang Extern Tentative Definition is not Respected,"Running into a compilation issue on MacOS 12. Seemingly valid C code is failing to compile into a static library. Compiling this code normally works, and this compiles just fine using the GCC compiler. MacOS 12 x86-64 MBA. Compiler version: When I compile the code as a static library, I get the follow error when I try to create an executable with the static library. Trying to static link a custom library. The following code example fails if the variable is defined with the following tentative definition : However, if this variable is defined with an explicit definition expression, this code works as expected. Full code example: Linkage Using the command to look at the linkage of variables given by",Pregunta
golang-fips cannot retrieve OpenSSL version,"I'm trying to run a docker.io container in podman 4.9.4 that uses go1.22.5-3. I'm getting the error ""openssl: can't retrieve OpenSSL version"" when I try to ""podman exec -it"" to the container. It looks like the error is coming from init.go (code block below). OpenSSL is installed (RHEL 8). What would cause to not be able to determine the major/minor/patch version of the installed OpenSSL? debug output includes:",Pregunta
Why does a C++ iterator reference need to be const?,"I'm trying out this demo code to play with in g++13. I'm wondering about the loop in : Why is this OK: but this throws the following error: How do I read this error? I'm new to C++, so I want to understand this terse syntax. I get that the is just the variable on the left-hand side, but that's pretty much all I can get from this.",Pregunta
Review apps feature on Google Kubernetes Engine using Jenkins,"3.3. Configure a user for GitHub webhook To create a new user in Jenkins click on Manage Jenkins → Manage User → Create User Complete the details. Assign permissions to git user. 1] Go to Manage Jenkins → Configure Global Security → select Enable security. 2] Under the Authorization section, select the Project-based Matrix Authorization Strategy. 3] Add the git user and assign the below permissions. Overall - Read Job - Build + Read 4] Create an API token for your git user. Once you have assigned the permissions, log out from your current user and log in back using the git user which we have configured in earlier steps. Click you name (upper-right corner) → Click Configure (left-side menu)",Artículo
"Redux + React ^16.8 (hooks) + Typescript, an industrial implementation","Basically, the aim is to be as effective as possible when both teams (Front / Back) work together. They often need to update the API, change endpoints, add / remove some keys of the exposed entities (DTO), rename entities… And at start that wasn’t easy to synchronize their entities with thoose defined internally in Typescript and used in React. The first idea was to find a way to synchronize them. Our stack is using Java+ Spring boot + Spring fox and thus exposes a swagger (AKA Open Api 2.0) definition of the full API (endpoints / entities). Parse the API The first objective was to find a way to convert swagger definition to Typescript objects & enums. various tools exists",Artículo
How to make the body start ignore the safe area on iOS 26.1 (Safari),"I want to make a page start from the screen top to the bottom. That is the green area under the top status bar and bottom IP address bar. Here is the source code repository: https://github.com/williamhqs/foo_safearea I tried a plugin , it doesn't work. Here is my main code: Page.tsx layout.tsx global.css Environment iOS 26.1 Next.js v15.5.6 TailwindCSS v4",Pregunta
